"","x","y","Bungarus_caeruleus.AI.model","Bungarus_ceylonicus.AI.model","Daboia_russellii.AI.model","Echis_carinatus.PPM.model","Hypnale_spp.AI.model","Naja_naja.AI.model","Trimeresurus_trigonocephalus.AI.model","Sum","Agressiv","Severity","Agr.Sev","hum.pop","envenomings","bites","land.cover"
"108",456902.570567719,774266.488324056,8.7780308355434e-08,2.95013516857213e-13,6.25445886193177e-08,0,3.41601538167424e-08,1.63702042810243e-07,9.93847726338259e-10,3.49181236341592e-07,1.8419924592556e-06,3.24374665716168e-06,1.59750460481617e-05,467.47318703729,0.00236695315383342,0.00223875590361298,2
"109",461497.570567719,774266.488324056,2.57273831572036e-07,1.06875625902991e-12,1.85182431611253e-07,1.6741665476161e-07,9.32032422351625e-08,5.47137169126799e-07,1.84250404863806e-09,1.25205690211176e-06,7.3489480246839e-06,1.10144805152256e-05,5.84949253336707e-05,360.257253712299,0.00231346963653025,0.00306787905197112,3
"110",466092.570567719,774266.488324056,2.4639053197717e-07,1.67285271159207e-12,1.70669688159819e-07,1.29294849493533e-07,8.58858160146525e-08,5.06485305695747e-07,1.63743063899546e-09,1.14036529483263e-06,6.55219800948017e-06,1.01412411130051e-05,5.29568092445936e-05,434.447423931177,0.00230038079284874,0.0030650045001505,3
"115",433927.570567719,769656.488324056,1.6867012542221e-07,1.51406361338885e-11,1.25516266713532e-07,2.86942409277735e-08,1.40177945473496e-07,6.03035639201721e-08,5.27805357752875e-08,5.76157818868606e-07,3.6484084234541e-06,4.16183654375513e-06,2.2386767073142e-05,636.106695780329,0.00246493942447812,0.0034618288044289,1
"116",438522.570567719,769656.488324056,1.85642599959124e-07,3.21564496222077e-11,1.42629431820751e-07,2.07933036455721e-07,1.59005812072621e-07,6.96380523246276e-08,6.16021975374803e-08,8.26483286619947e-07,5.89954474306532e-06,5.55770722157519e-06,3.41418700957597e-05,1212.99523775463,0.0024462498919993,0.00325786893223461,1
"117",443117.570567719,769656.488324056,2.36682287990675e-07,2.33622652964788e-12,1.69689116091831e-07,2.31616761325881e-07,1.40706057916162e-07,2.05744582260081e-07,1.59897636797801e-08,1.00043090549094e-06,6.67876952674205e-06,7.71737496974884e-06,4.4493985908287e-05,755.443469715926,0.00241261852118715,0.0031161165864199,3
"118",447712.570567719,769656.488324056,2.31197159195062e-07,7.03834031529939e-13,2.15324649666115e-07,3.24771551873937e-08,1.45510114624159e-07,5.75608643416103e-07,3.1911180087274e-09,1.20330954393159e-06,6.86205484280149e-06,1.08234187989313e-05,5.66386622724828e-05,939.441996761805,0.00239152197792226,0.00298142693741115,3
"119",452307.570567719,769656.488324056,2.58786863938099e-07,9.13571945686514e-13,2.3723469455561e-07,8.64392997179664e-08,1.46053046101713e-07,6.89122755304084e-07,3.00069870340369e-09,1.42063827189282e-06,8.20399362483066e-06,1.27248086092958e-05,6.73322203053046e-05,603.54968555451,0.00236423108937584,0.00303087281962951,3
"120",456902.570567719,769656.488324056,2.57907101897104e-07,1.12528090551135e-12,2.34049696068439e-07,1.99360915331681e-07,1.30941860243539e-07,7.09466110748735e-07,2.50650777910977e-09,1.53423331734951e-06,9.25361025379316e-06,1.340637700512e-05,7.32667751342279e-05,1928.41262131702,0.00234327085844545,0.00303370225948428,3
"121",461497.570567719,769656.488324056,2.6080253334726e-07,1.33806493988163e-12,2.44753282530041e-07,5.09419640692954e-07,1.25127225913957e-07,8.91665573377054e-07,1.70968530305293e-09,2.03347927922926e-06,1.32936873097725e-05,1.68964168397026e-05,9.86146622427353e-05,3306.49692378703,0.00229745658214481,0.00305042438040946,3
"122",466092.570567719,769656.488324056,2.55943389149138e-07,4.83559664478297e-12,2.33443141706147e-07,4.4632730533678e-07,1.22705870797546e-07,7.05410574397547e-07,1.98592561145849e-09,1.76582104259526e-06,1.16087369345438e-05,1.45497594731828e-05,8.50743531397524e-05,1362.19764226849,0.00220629031079806,0.00296500279363278,3
"123",470687.570567719,769656.488324056,2.77536417847557e-07,1.92237105886019e-12,2.6377009376688e-07,2.1595387911244e-07,1.47924868132421e-07,8.99533931564278e-07,2.81343596336692e-09,1.807534548758e-06,1.08185732542514e-05,1.59347810914206e-05,8.68813722756009e-05,901.299715925225,0.00219429887050299,0.00298878202339738,3
"124",475282.570567719,769656.488324056,2.43924976217613e-07,2.0127342412917e-12,2.25670480080709e-07,5.30210217952742e-08,1.59885218176115e-07,6.14281751909473e-07,3.16249794407586e-09,1.2999479588575e-06,7.51266195274085e-06,1.15867154708692e-05,6.11128282763366e-05,1994.8163588077,0.00228750366428587,0.00298057166047251,3
"125",479877.570567719,769656.488324056,1.91513026770451e-07,2.44603042519071e-12,1.25436146136693e-07,2.68061413066789e-08,1.35485630048393e-07,1.06160586821336e-07,3.56234045456594e-08,6.21027381659636e-07,3.75397874359622e-06,4.80723305881328e-06,2.47918224217752e-05,2454.91225079488,0.00235387155558112,0.00321594825298955,1
"128",424737.570567719,765046.488324056,9.92041802039267e-08,1.57377911353543e-11,1.33236790489377e-07,6.27908003369981e-10,1.52348533788427e-07,7.77815416519445e-08,7.27140259115799e-08,5.3592871783976e-07,3.61927470376118e-06,3.63528166865755e-06,2.15703968730281e-05,291.130455934497,0.00247696475097775,0.00353224469639292,1
